date,n_long,n_short,beta_long,beta_short
2005-08-31,150,150,1.0290212169237725,1.0922567780824866
2005-09-30,150,150,1.043492883592837,1.08618610385584
2005-10-31,150,150,1.0474070476402093,1.1285384215832923
2005-11-30,151,151,1.054870427903915,1.1529678060965503
2005-12-30,151,151,1.0523946241603204,1.1485692666909812
2006-01-31,151,151,1.0342663753328862,1.1414888574191706
2006-02-28,151,151,1.0033196454701465,1.1146713142597102
2006-03-31,152,152,1.0297165867048292,1.121246463832723
2006-04-28,152,152,0.9796189487159982,1.113684206627585
2006-05-31,152,152,0.9592537535034078,1.1348157181450764
2006-06-30,152,152,1.0059395061104635,1.192697800731978
2006-07-31,153,153,1.0169320223069294,1.2133908110466198
2006-08-31,154,154,1.0337982221716369,1.2071803192819324
2006-09-29,154,154,1.0613786592258305,1.220952468302796
2006-10-31,153,153,1.0498000478469698,1.2595966592763954
2006-11-30,154,154,1.074662579173135,1.2738635149277977
2006-12-29,154,154,1.0646319619828257,1.2702343674415904
2007-01-31,155,155,1.0730875233723791,1.2931591308697867
2007-02-28,155,155,1.0520533426228207,1.2684093457615564
2007-03-30,155,155,1.0526171999373868,1.2159895677210881
2007-04-30,156,156,1.0511442328519087,1.2372405332152487
2007-05-31,157,157,1.0471104983690673,1.2462385329423236
2007-06-29,157,157,1.0483547017646082,1.1913810331508639
2007-07-31,157,157,1.0280463525690715,1.1033917236460304
2007-08-31,157,157,1.0348475151573937,1.083942607279233
2007-09-28,157,157,1.0175628069886375,1.1014957907605836
2007-10-31,158,158,1.00913050635986,1.0862069786171036
2007-11-30,158,158,0.9873729929646532,1.0415828977289516
2007-12-31,159,159,0.998274184167534,1.0463621553793874
2008-01-31,159,159,1.0062901464914407,1.0304565725168384
2008-02-29,159,159,1.0085281500337475,1.0405343863161158
2008-03-31,160,160,0.9955354695413817,1.065015038773826
2008-04-30,160,160,1.0027725733640986,1.0535284994696228
2008-05-30,161,161,1.0116633323455697,1.0323026042013994
2008-06-30,162,162,1.0338098493140175,1.0260501028733793
2008-07-31,163,163,1.0845951251276642,1.02032357530865
2008-08-29,163,163,1.1329891751700267,1.050897158800887
2008-09-30,163,163,1.1167685526642257,0.9679176572119155
2008-10-31,163,163,1.0584687406730875,0.9578952456760538
2008-11-28,163,163,1.1283903646432472,0.9761393104185738
2008-12-31,163,163,1.1376077014647015,0.9947644399227095
2009-01-30,163,163,1.139608180859292,0.9960624639617971
2009-02-27,163,163,1.1613928009193866,1.0015656375404143
2009-03-31,163,163,1.1485408033745523,1.010016549722407
2009-04-30,164,164,1.1187810307613175,1.0029445307187475
2009-05-29,164,164,1.1220636330300642,1.0326357866585065
2009-06-30,164,164,1.1045696602850927,1.0470021039375894
2009-07-31,164,164,1.1149426850306212,1.0444147736814369
2009-08-31,164,164,1.1003794727727647,1.0670616072327608
2009-09-30,164,164,1.1200708684420193,1.0942815233984682
2009-10-30,163,163,1.1589374483310664,1.127646886297896
2009-11-30,161,161,1.1480218564996392,1.1004981417694442
2009-12-31,161,161,1.151687436415956,1.138113355306209
2010-01-29,161,161,1.1594707094937617,1.1300695701069539
2010-02-26,161,161,1.1524659577548544,1.097587971480499
2010-03-31,163,163,1.1334225940168916,1.1095203071276099
2010-04-30,164,164,1.1139275384976544,1.1075419448631991
2010-05-28,165,165,1.0872442971490097,1.1049903004695025
2010-06-30,165,165,1.08485686521682,1.1037035318588813
2010-07-30,166,166,1.100036778339808,1.1124470147383954
2010-08-31,167,167,1.0904157738446008,1.0997942313918132
2010-09-30,167,167,1.056506072522491,1.1071008749301074
2010-10-29,168,168,1.0640686672061657,1.1018050936866146
2010-11-30,169,169,1.0446050759958743,1.0710740188484555
2010-12-31,169,169,1.0389899969292127,1.0753896729223087
2011-01-31,169,169,1.046468405034879,1.0922879398934167
2011-02-28,169,169,1.0399921662072311,1.0865832759615666
2011-03-31,170,170,1.0484595527116591,1.0744068616880031
2011-04-29,171,171,1.0397780295398085,1.094985441255683
2011-05-31,171,171,1.0506104575553254,1.0827864426115545
2011-06-30,171,171,1.0469706069957083,1.0655392161314454
2011-07-29,171,171,1.0231897670585837,1.0654790962043008
2011-08-31,174,174,1.050571981768819,1.0852411358302003
2011-09-30,174,174,1.09491244103938,1.059039998498211
2011-10-31,175,175,1.0925940361467938,1.0922212516401384
2011-11-30,175,175,1.1379194286869545,1.0594671609249762
2011-12-30,175,175,1.1211132876756098,1.0636088392240146
2012-01-31,175,175,1.1073757454863347,1.073743961787468
2012-02-29,176,176,1.1097052380644294,1.0967469975439985
2012-03-30,177,177,1.1061177161191744,1.1007356064742562
2012-04-30,176,176,1.1279224035063287,1.098546718877742
2012-05-31,176,176,1.1331067869877292,1.080111900720604
2012-06-29,177,177,1.1377578383550604,1.0793745519855105
2012-07-31,177,177,1.1236914635722628,1.0818218193241393
2012-08-31,176,176,1.1388530750361232,1.0634294886193587
2012-09-28,177,177,1.0987142194528614,1.0597436065842505
2012-10-31,177,177,1.071143491215953,1.040193664159367
2012-11-30,177,177,1.0930943376757023,1.0492602689187822
2012-12-31,178,178,1.0675433234259089,1.0402248770712548
2013-01-31,178,178,1.0447533133800595,1.0392496975232168
2013-02-28,178,178,1.038239129185508,1.0323643475619968
2013-03-28,178,178,1.0406424954871336,1.0322350786605847
2013-04-30,179,179,1.0690626727127686,1.0291442735328222
2013-05-31,179,179,1.045822173000413,1.0488759282259577
2013-06-28,179,179,1.0300502045250595,1.0210738625730864
2013-07-31,180,180,1.057849902950438,1.0349954947677888
2013-08-30,180,180,1.0558419130591485,1.0297342327799113
2013-09-30,181,181,1.0431062579075507,1.0456285933887615
2013-10-31,182,182,1.0427276837938277,1.0697158764931993
2013-11-29,182,182,1.0332359262499016,1.0887532595557978
2013-12-31,182,182,1.0221464882979188,1.0928111373693703
2014-01-31,183,183,1.0133801057921796,1.1133717550315916
2014-02-28,183,183,1.0278422481615501,1.0947537103798561
2014-03-31,183,183,1.0397985292094862,1.1020578221964046
2014-04-30,183,183,1.0149536352986783,1.1314636016307094
2014-05-30,184,184,0.9957002258632326,1.1127750516341002
2014-06-30,184,184,0.9916331404177363,1.1235729705662783
2014-07-31,184,184,0.9984461685940279,1.1001260055177968
2014-08-29,184,184,0.9753994900228713,1.114734019079316
2014-09-30,185,185,0.9759652790511255,1.1092174515570001
2014-10-31,185,185,0.9745157688713302,1.1000030055529955
2014-11-28,186,186,0.9661147994819818,1.0992007683631684
2014-12-31,186,186,0.977962879975154,1.0980103819000724
2015-01-30,186,186,0.9704161124420294,1.0583228879091813
2015-02-27,186,186,0.99006651836691,1.051062037375009
2015-03-31,186,186,0.9862881854619788,1.0412466935630402
2015-04-30,187,187,0.9889510651354869,1.0189174929317428
2015-05-29,187,187,0.9666442146203408,1.0187854616167762
2015-06-30,187,187,0.9737663344915385,1.0119315410241965
2015-07-31,188,188,0.9863862972902162,0.9999129964156125
2015-08-31,188,188,0.9826468148795687,0.9787844132915106
2015-09-30,188,188,0.988075974239697,0.9727252946336634
2015-10-30,188,188,1.0066828878501084,0.9850412356496013
2015-11-30,188,188,1.001143918484801,0.9754470615185594
2015-12-31,188,188,0.997436883939595,0.9661592683437801
2016-01-29,188,188,1.0312175399315628,0.9672500143055112
2016-02-29,188,188,1.0773174040227826,0.9719802588910128
2016-03-31,189,189,1.0896448448751377,1.0036840167804204
2016-04-29,189,189,1.0792761710218857,1.0095359482919304
2016-05-31,189,189,1.0846369045486755,1.009386453191663
2016-06-30,189,189,1.1423490441905897,1.0027201435766966
2016-07-29,190,190,1.1323580384684004,1.0155075939884095
2016-08-31,190,190,1.1564099725266828,1.052564758032347
2016-09-30,190,190,1.1761690609749214,1.0769425907465502
2016-10-31,191,191,1.1791003022577464,1.0891531368582181
2016-11-30,191,191,1.1611300445900832,1.1092084991785989
2016-12-30,191,191,1.202155864498236,1.1302903226867604
2017-01-31,191,191,1.2343787827095674,1.1246917021256948
2017-02-28,192,192,1.2289408197791092,1.1042775541599534
2017-03-31,191,191,1.2237512063484157,1.109712326598935
2017-04-28,191,191,1.227051448986241,1.0983674055079504
2017-05-31,191,191,1.2344084976840914,1.1262588582247361
2017-06-30,190,190,1.1700950552392246,1.1129424757404776
2017-07-31,190,190,1.1604121923040958,1.1178933274361347
2017-08-31,191,191,1.15321159712728,1.1096148709290339
2017-09-29,191,191,1.1658373684037011,1.1022280101641901
2017-10-31,193,193,1.1616057946725937,1.0897330162426253
2017-11-30,193,193,1.1162936101954677,1.0719963207784384
2017-12-29,193,193,1.0950030210664468,1.0863143956893473
2018-01-31,193,193,1.0943701753089723,1.0337629479027888
2018-02-28,195,195,0.9877088764590309,0.9990318058207642
2018-03-29,195,195,0.9460161662599784,0.9693333694940406
2018-04-30,196,196,0.9465344989222817,0.9632984649412378
2018-05-31,197,197,0.9227759997642011,0.9299409764220629
2018-06-29,196,196,0.9255293699721567,0.9273296018872534
2018-07-31,196,196,0.9170340143095917,0.9294837490024523
2018-08-31,196,196,0.9438285154072482,0.9377508498586904
2018-09-28,196,196,0.9442173054152971,0.9320291995075334
2018-10-31,196,196,0.9682496538791046,0.9361415978898724
2018-11-30,196,196,0.9292526600492604,0.9319248538721308
2018-12-31,195,195,0.9496761374767733,0.9608337183066284
2019-01-31,196,196,0.932129941912534,0.967188717524891
2019-02-28,196,196,0.9650836108967301,0.9560699852596225
2019-03-29,196,196,0.9851006684702812,0.9648204784077343
2019-04-30,196,196,0.9725941597191088,0.9844427364872481
2019-05-31,196,196,1.0089717941585041,1.0154509771315772
2019-06-28,196,196,1.005866016059468,1.01032373170536
2019-07-31,196,196,0.9915735873684918,1.0098476185210523
2019-08-30,196,196,1.038595408290525,0.9965944406923212
2019-09-30,196,196,1.0323256173096143,0.9967484623608323
2019-10-31,196,196,1.0455347938598196,1.0091041966560508
2019-11-29,196,196,1.0951679352838197,1.0191354462180027
2019-12-31,196,196,1.1336610262427076,1.0196738722625083
2020-01-31,195,195,1.1696661954103253,1.0069376608062615
2020-02-28,196,196,1.1672574659003252,0.9868917456031867
2020-03-31,196,196,1.1995400778402552,0.9786253659115295
2020-04-30,196,196,1.203945632016941,1.0104206271892289
2020-05-29,196,196,1.2030894594398762,1.013648381589119
2020-06-30,197,197,1.2326368639303553,1.0238494825618023
2020-07-31,197,197,1.2288981781556725,1.0301425125082235
2020-08-31,196,196,1.2417822122548912,1.033774199125416
2020-09-30,197,197,1.2414109894065395,1.0136812120646914
2020-10-30,196,196,1.2227492425266075,0.9991514236092842
2020-11-30,196,196,1.1723696619265795,1.0335629600428575
2020-12-31,196,196,1.1708427987281147,1.045826938889276
2021-01-29,195,195,1.170556862810256,1.0458575879469052
2021-02-26,196,196,1.147951782314904,1.062133100239988
2021-03-31,196,196,1.23258078019659,1.0819352903237385
2021-04-30,195,195,1.1790815060230277,1.0524528600756335
2021-05-28,195,195,1.0662810209328772,1.0153884100402415
2021-06-30,195,195,0.9302984827114986,0.9867851098181828
2021-07-30,195,195,0.9544161958052177,0.9845512348136782
2021-08-31,193,193,0.968185628206442,0.9871833474706404
2021-09-30,194,194,1.0187020712548978,1.0135425237054445
2021-10-29,194,194,1.013271154847894,1.0306147175525946
2021-11-30,194,194,0.9626175176167098,1.0215175715274547
2021-12-31,194,194,0.9654588721152008,1.0202739117991602
2022-01-31,195,195,0.99782389918562,1.0054482174593147
2022-02-28,195,195,0.9820224057530824,1.0216978473079275
2022-03-31,195,195,1.0044104164227008,1.0493453289849952
2022-04-29,195,195,0.9978120995018618,1.0059065340563924
2022-05-31,196,196,1.0301312185847338,0.9991340574359865
2022-06-30,197,197,1.078859718903808,1.0113962481051197
2022-07-29,197,197,1.0485013791330662,1.0352952163289566
2022-08-31,197,197,1.071711509523281,1.0282462727635155
2022-09-30,197,197,1.0958520721214369,1.0169350386198936
2022-10-31,196,196,1.092979069689719,1.0259582078815308
2022-11-30,196,196,1.03916841825548,1.0158897449132231
2022-12-30,196,196,1.05440189656279,1.0150902945456277
2023-01-31,196,196,1.0296260708325855,1.0307755356399133
2023-02-28,196,196,1.0604881025190933,1.0573554782447236
2023-03-31,197,197,1.0633285721670163,1.0517335111705617
2023-04-28,197,197,1.0750765449369921,1.0267140572526021
2023-05-31,197,197,1.0935208358905726,1.039000873126271
2023-06-30,197,197,1.0751438060912264,1.030797332680479
2023-07-31,196,196,1.0754596696107512,1.0247650201532832
2023-08-31,196,196,1.0921127100458548,1.0341801636039807
2023-09-29,196,196,1.0881453934498824,1.023961114810156
2023-10-31,196,196,1.11420370760675,1.0168964142446293
2023-11-30,195,195,1.1159649503862124,1.0337729878621205
2023-12-29,196,196,1.1461923145990975,1.0529277920400344
2024-01-31,196,196,1.163011011449862,1.0370747089306722
2024-02-29,195,195,1.1262031659066967,1.0335686154943713
2024-03-28,195,195,1.0974463351685464,1.0007317485768497
2024-04-30,195,195,1.097064318308659,1.0061212365518926
2024-05-31,195,195,1.05242114984944,1.0351789661975097
2024-06-28,194,194,1.0307070505993594,1.0446405665744811
2024-07-31,194,194,0.9325111739779073,1.0143923068968965
2024-08-30,194,194,1.0060670309831525,0.9538949845777016
2024-09-30,193,193,0.9890937865613187,0.9757871873029582
2024-10-31,193,193,0.9892747287861849,0.9527498270163729
2024-11-29,190,190,0.9323871666769429,0.9291234097680564
2024-12-31,189,189,0.8933693102040167,0.9450080692079543
2025-01-31,187,187,0.8458253290455726,0.9331473383436267
2025-02-28,184,184,0.8578745591618872,0.9201341954930373
2025-03-31,183,183,0.9226392224192608,0.9080123397480833
2025-04-30,192,192,1.0037088701200285,0.9285850308494056
2025-05-30,190,190,0.9839191358212807,0.968993821719813
2025-06-30,190,190,0.975714605327346,1.0014804935033594
2025-07-31,189,189,1.0178363232497158,1.0284569763431735
2025-08-29,189,189,1.0356309266452088,1.0106371454796599
2025-09-30,188,188,1.046256412884988,1.0066093936454736
2025-10-31,187,187,1.0446587138625172,1.0383718488680613
2025-11-28,187,187,0.9972921603221667,1.0218748775783046
2025-12-31,187,187,1.009436515548125,1.0440002541189528
2026-01-30,187,187,1.0324758287173192,1.0619346783049322
